Year,Make,Model,Trim,Type,Price,Mileage,Accidents,Owners,Usage,car_url,Miles_threshold
2021,Mazda,CX-5,Touring,SUV,23900.0,29755.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM4M0376778/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,24998.0,19875.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFACM3M0450346/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,23900.0,29450.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM4M1364981/?radius=25,45000
2021,Mazda,CX-5,Grand Touring,SUV,24945.0,25479.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM8M0402376/?radius=25,45000
2020,Mazda,CX-5,Grand Touring,SUV,25998.0,19499.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2020/vin/JM3KFADM4L0736994/?radius=25,60000
2021,Mazda,CX-5,Sport,SUV,21595.0,26805.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBBM4M0360940/?radius=25,45000
2021,Mazda,CX-5,Grand Touring,SUV,25743.0,21175.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM7M0363408/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,22671.0,36127.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM4M0379003/?radius=25,45000
2021,Mazda,CX-5,Sport,SUV,23998.0,23386.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFABM1M0335472/?radius=25,45000
2022,Mazda,CX-5,2.5 S Select,SUV,25998.0,20874.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2022/vin/JM3KFBBM1N1622473/?radius=25,30000
2021,Mazda,CX-5,Touring,SUV,21945.0,30963.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM4M0365375/?radius=25,45000
2020,Mazda,CX-5,Touring,SUV,24998.0,23658.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2020/vin/JM3KFACM7L0839876/?radius=25,60000
2021,Mazda,CX-5,Touring,SUV,23495.0,30760.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCMXM0376221/?radius=25,45000
